,Account Number,First Name,Last Name,Address,Phone Number,Account Pin,Account Balance
0,533895,GEETHA,BATTU,"307-D,sector-11, sector-11",7584978007,2001,3854
1,547435,meghana,indugabilli,"207-D, NAD, Vizag",6578354678,2601,36498635
2,499512,GEETHA,BATTU,"307-D,sector-11, sector-11",7584978007,2601,6496857784
3,273332,GEETHA,BATTU,"307-D,sector-11, sector-11",7584978007,0,434
4,218696,GEETHA,BATTU,"307-D,sector-11, sector-11",7584978007,9832,4734
5,425712,GEETHA,BATTU,"307-D,sector-11, sector-11",7584978007,9832,4734
6,192727,GEETHA,BATTU,"307-D,sector-11, sector-11",1234567890,3425,35246
7,351893,samantha,akineni,"201-D, sector - 10",1234567890,1234,28978070337
8,958357,GEETHA,BATTU,"307-D,sector-11, sector-11",7584978007,76324792,3243
9,600397,GEETHA,BATTU,"307-D,sector-11, sector-11",1234567890,2345,2345
10,603395,GEETHA,BATTU,"307-D,sector-11, sector-11",7584978007,2343,343546
11,298768,GEETHA,BATTU,"307-D,sector-11, sector-11",1234567890,1234,1234546
12,823097,28_Geetha Reddy,sdg,fraedgs,1234567890,7587,85758
13,316773,meghana,indugabilli,fraedgs,9381902635,1382,364923
