,Account Number,Deposit / Withdraw,Amount,Account Balance,TimeStamp
0,533895,Deposit,30,3920,2021-11-03 14:41:21.496801
1,533895,Deposit,40,3960,2021-11-03 14:41:42.871309
2,533895,Withdraw,30,3890,2021-11-03 14:42:25.403483
3,533895,Withdraw,36,3854,2021-11-03 14:42:36.365462
4,499512,Deposit,691425,6496911271,2021-11-03 15:45:03.959336
5,499512,Withdraw,53487,6496857784,2021-11-03 15:45:51.553287
6,351893,Deposit,21664986389,68263452253,2021-11-03 20:03:49.939336
7,351893,Withdraw,1636653498,66626798755,2021-11-03 20:10:49.695033
8,351893,Withdraw,45,66626798710,2021-11-04 12:57:50.638360
9,351893,Withdraw,35,66626798675,2021-11-04 12:58:54.242209
10,351893,Withdraw,45,66626798630,2021-11-04 13:01:34.010481
11,351893,Withdraw,23,66626798607,2021-11-04 13:01:56.306495
12,351893,Withdraw,34,66626798573,2021-11-04 13:03:19.857080
13,351893,Deposit,34,66626798607,2021-11-04 13:05:47.981466
14,351893,Withdraw,34,66626798573,2021-11-04 13:08:16.748525
15,351893,Withdraw,34,66626798539,2021-11-04 13:10:58.471311
16,351893,Withdraw,56,66626798483,2021-11-04 13:11:37.031002
17,351893,Withdraw,30,66626798453,2021-11-04 13:20:55.992862
18,351893,Withdraw,34,66626798419,2021-11-04 13:22:55.819548
19,351893,Withdraw,34,66626798385,2021-11-04 13:23:31.269392
20,351893,Withdraw,34,66626798351,2021-11-04 13:26:09.915265
21,351893,Withdraw,36,66626798315,2021-11-04 13:27:56.593549
22,351893,Withdraw,1,66626798314,2021-11-04 13:28:45.974633
23,351893,Withdraw,3,66626798311,2021-11-04 13:29:49.720422
24,351893,Deposit,345,66626798656,2021-11-04 13:31:06.457271
25,351893,Withdraw,1,66626798655,2021-11-04 13:32:55.010272
26,351893,Withdraw,34,66626798621,2021-11-04 13:34:14.522157
27,351893,Withdraw,1,66626798620,2021-11-04 13:35:18.184075
28,351893,Withdraw,1,66626798619,2021-11-04 13:37:25.027722
